i= 59 | event=NONE | counter=1 | f_prime=7990628750.00 | f_star=2938683440.67 | 2911535418.857->2911535418.857 | f_range=[2938683440.67, 55586402037.67]
i= 60 | event=NONE | counter=2 | f_prime=11396800751.67 | f_star=2938683440.67 | 2911535418.857->2911535418.857 | f_range=[2938683440.67, 55586402037.67]
i= 61 | event=NONE | counter=3 | f_prime=6488913454.67 | f_star=2938683440.67 | 2911535418.857->2911535418.857 | f_range=[2938683440.67, 55586402037.67]
i= 62 | event=STAG | counter=0 | f_prime=15134957499.67 | f_star=2938683440.67 | 2911535418.857->5069277597.885 | f_range=[2938683440.67, 55586402037.67]
i= 63 | event=NONE | counter=1 | f_prime=24471659203.67 | f_star=2938683440.67 | 5069277597.885->5069277597.885 | f_range=[2938683440.67, 55586402037.67]
i= 64 | event=NONE | counter=2 | f_prime=33333224040.00 | f_star=2938683440.67 | 5069277597.885->5069277597.885 | f_range=[2938683440.67, 55586402037.67]
i= 65 | event=NONE | counter=3 | f_prime=8221079137.67 | f_star=2938683440.67 | 5069277597.885->5069277597.885 | f_range=[2938683440.67, 55586402037.67]
i= 66 | event=STAG | counter=0 | f_prime=14273928489.00 | f_star=2938683440.67 | 5069277597.885->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 67 | event=NONE | counter=1 | f_prime=14143597305.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 68 | event=NONE | counter=2 | f_prime=26474030406.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 69 | event=NONE | counter=3 | f_prime=19938544000.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 70 | event=STAG | counter=0 | f_prime=7675010496.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i= 71 | event=S_STAG | counter=0 | f_prime=19969220804.67 | f_star=2938683440.67 | 7019695812.933->5828712487.506 | f_range=[2938683440.67, 55586402037.67]
